emoji,hexcode,group,subgroups
😀,1F600,smileys-emotion,face-smiling
😃,1F603,smileys-emotion,face-smiling
😄,1F604,smileys-emotion,face-smiling
😁,1F601,smileys-emotion,face-smiling
😆,1F606,smileys-emotion,face-smiling
😅,1F605,smileys-emotion,face-smiling
🤣,1F923,smileys-emotion,face-smiling
😂,1F602,smileys-emotion,face-smiling
🙂,1F642,smileys-emotion,face-smiling
🫠,1FAE0,smileys-emotion,face-smiling
😉,1F609,smileys-emotion,face-smiling
😊,1F60A,smileys-emotion,face-smiling
😇,1F607,smileys-emotion,face-smiling
🥰,1F970,smileys-emotion,face-affection
😍,1F60D,smileys-emotion,face-affection
🤩,1F929,smileys-emotion,face-affection
😘,1F618,smileys-emotion,face-affection
😗,1F617,smileys-emotion,face-affection
☺️,263A,smileys-emotion,face-affection
😚,1F61A,smileys-emotion,face-affection
😙,1F619,smileys-emotion,face-affection
🥲,1F972,smileys-emotion,face-affection
😋,1F60B,smileys-emotion,face-tongue
😛,1F61B,smileys-emotion,face-tongue
😜,1F61C,smileys-emotion,face-tongue
🤪,1F92A,smileys-emotion,face-tongue
😝,1F61D,smileys-emotion,face-tongue
🤑,1F911,smileys-emotion,face-tongue
🤐,1F910,smileys-emotion,face-neutral-skeptical
🤨,1F928,smileys-emotion,face-neutral-skeptical
😐️,1F610,smileys-emotion,face-neutral-skeptical
😑,1F611,smileys-emotion,face-neutral-skeptical
😶,1F636,smileys-emotion,face-neutral-skeptical
🫥,1FAE5,smileys-emotion,face-neutral-skeptical
😏,1F60F,smileys-emotion,face-neutral-skeptical
😒,1F612,smileys-emotion,face-neutral-skeptical
🙄,1F644,smileys-emotion,face-neutral-skeptical
😬,1F62C,smileys-emotion,face-neutral-skeptical
😮‍💨,1F62E-200D-1F4A8,smileys-emotion,face-neutral-skeptical
🤥,1F925,smileys-emotion,face-neutral-skeptical
🫨,1FAE8,smileys-emotion,face-neutral-skeptical
🙂‍↔️,1F642-200D-2194-FE0F,smileys-emotion,face-neutral-skeptical
🙂‍↕️,1F642-200D-2195-FE0F,smileys-emotion,face-neutral-skeptical
😌,1F60C,smileys-emotion,face-sleepy
😔,1F614,smileys-emotion,face-sleepy
😪,1F62A,smileys-emotion,face-sleepy
🤤,1F924,smileys-emotion,face-sleepy
😴,1F634,smileys-emotion,face-sleepy
🫩,1FAE9,smileys-emotion,face-sleepy
😷,1F637,smileys-emotion,face-unwell
🤒,1F912,smileys-emotion,face-unwell
🤕,1F915,smileys-emotion,face-unwell
🤢,1F922,smileys-emotion,face-unwell
🤮,1F92E,smileys-emotion,face-unwell
🤧,1F927,smileys-emotion,face-unwell
🥵,1F975,smileys-emotion,face-unwell
🥶,1F976,smileys-emotion,face-unwell
🥴,1F974,smileys-emotion,face-unwell
😵,1F635,smileys-emotion,face-unwell
😵‍💫,1F635-200D-1F4AB,smileys-emotion,face-unwell
🤯,1F92F,smileys-emotion,face-unwell
😕,1F615,smileys-emotion,face-concerned
🫤,1FAE4,smileys-emotion,face-concerned
😟,1F61F,smileys-emotion,face-concerned
🙁,1F641,smileys-emotion,face-concerned
☹️,2639,smileys-emotion,face-concerned
😮,1F62E,smileys-emotion,face-concerned
😯,1F62F,smileys-emotion,face-concerned
😲,1F632,smileys-emotion,face-concerned
😳,1F633,smileys-emotion,face-concerned
🥺,1F97A,smileys-emotion,face-concerned
🥹,1F979,smileys-emotion,face-concerned
😦,1F626,smileys-emotion,face-concerned
😧,1F627,smileys-emotion,face-concerned
😨,1F628,smileys-emotion,face-concerned
😰,1F630,smileys-emotion,face-concerned
😥,1F625,smileys-emotion,face-concerned
😢,1F622,smileys-emotion,face-concerned
😭,1F62D,smileys-emotion,face-concerned
😱,1F631,smileys-emotion,face-concerned
😖,1F616,smileys-emotion,face-concerned
😣,1F623,smileys-emotion,face-concerned
😞,1F61E,smileys-emotion,face-concerned
😓,1F613,smileys-emotion,face-concerned
😩,1F629,smileys-emotion,face-concerned
😫,1F62B,smileys-emotion,face-concerned
🥱,1F971,smileys-emotion,face-concerned
😤,1F624,smileys-emotion,face-negative
😡,1F621,smileys-emotion,face-negative
😠,1F620,smileys-emotion,face-negative
🤬,1F92C,smileys-emotion,face-negative
😈,1F608,smileys-emotion,face-negative
👿,1F47F,smileys-emotion,face-negative
